FAFB,BANC,MCNS
720575940623047194,720575941613082588,76821
720575940627242371,720575941412275567,76173
720575940612600293,720575941589268292,91781
720575940618397396,720575941470141963,69228
720575940625513859,720575941568059386,112206
720575940636247800,720575941432945166,77600
720575940638085210,720575941438513237,57378
720575940629365915,720575941702038746,103638
720575940625901949,720575941486323206,29904
720575940629703740,720575941603469241,34566
720575940612880819,720575941554203034,46586
720575940620695489,720575941567929332,82016
720575940634293240,720575941551204158,44578
720575940620521455,720575941491867568,104078
720575940626373784,720575941503073330,41659
720575940614400510,720575941602033142,121004
720575940620173959,720575941451888297,52497
720575940636344683,720575941450100090,30365
720575940624596006,720575941491364071,28760
720575940624909319,720575941506455390,110442
720575940621858925,720575941437010706,131504
720575940633496237,720575941436395820,107858
720575940615571423,720575941637256053,112088
720575940641596149,720575941667995057,117586
720575940629400619,720575941504339109,96959
720575940611002488,720575941514625273,61170
720575940624915127,720575941631786144,57889
720575940629311452,720575941598961600,21295
720575940626963018,720575941578034933,30142
720575940628056423,720575941486024198,26866
720575940636234718,720575941540712284,32585
720575940634521080,720575941687678447,30601
720575940614222590,720575941657501264,48060
720575940617015109,720575941611552742,77419
720575940629944655,720575941629739234,76447
720575940624436553,720575941688280438,93414
720575940635175871,720575941498597601,59074
720575940608995337,720575941686760431,70980
720575940630154812,720575941558681103,104139
720575940632806701,720575941536195816,80826
720575940619184286,720575941507955234,81548
720575940629953986,720575941564781878,87255
720575940626039689,720575941573356552,94765
720575940628177660,720575941572888315,75766
720575940626093242,720575941526380569,82130
720575940632934044,720575941462592781,77775
720575940632673617,720575941567761522,77039
720575940627960201,720575941413086353,81738
720575940628725766,720575941569069818,81037
720575940627039238,720575941407047086,75304
720575940621847149,720575941536258792,76598
720575940628988727,720575941618592383,77491
720575940630424279,720575941450749818,76962
720575940619438661,720575941413085841,70642
720575940613674922,720575941492033456,62757
720575940630215618,720575941505931589,71188
720575940605630944,720575941429748655,60856
720575940630828406,720575941641033503,73385
720575940628759829,720575941525592834,78820
720575940625615764,720575941479815759,75966
720575940639775347,720575941430837207,76567
720575940613128306,720575941591357324,82145
720575940617640377,720575941538712469,87909
720575940630756222,720575941573810077,77982
720575940628180392,720575941479939407,78805
720575940606472881,720575941592303467,90430
720575940621433537,720575941540005581,71674
720575940618852891,720575941589670455,75298
720575940635137643,720575941457465328,67150
720575940620989349,720575941475834398,63050
720575940632372051,720575941564824215,65850
720575940617990301,720575941465828374,67877
720575940618903198,720575941547481633,68212
720575940601603185,720575941507172386,91020
720575940630985555,720575941597390272,78108
720575940644775460,720575941568138490,76562
720575940618046721,720575941612988435,87669
720575940636152175,720575941547183028,87059
720575940615711455,720575941624938634,72045
720575940630521726,720575941473486688,74937
720575940621674701,720575941653717972,100774
720575940637229198,720575941689383643,112732
720575940618159289,720575941526479204,113228
720575940615312746,720575941558538867,112453
720575940625039335,720575941566337582,107486
720575940606850249,720575941650271765,102909
720575940619965776,720575941475752990,117556
720575940644700832,720575941577833973,110938
720575940617307275,720575941584471647,110025
720575940616044447,720575941533993665,124155
720575940618190297,720575941632088763,49817
720575940625193218,720575941502827058,47522
720575940624146668,720575941574461705,41483
720575940616820800,720575941558401907,46630
720575940622810077,720575941391237380,49315
720575940627193105,720575941437954111,48557
720575940620043856,720575941514752249,44929
720575940610015171,720575941565336674,40719
720575940630937851,720575941481312966,55232
720575940606834633,720575941609864877,46972
720575940628078824,720575941478768514,46092
720575940622847181,720575941400125219,57427
720575940605814816,720575941560304755,48085
720575940633361230,720575941573014024,52586
720575940619490206,720575941612583955,49933
720575940620016304,720575941650453013,51676
720575940617661585,720575941402895472,53646
720575940636809061,720575941525318425,54560
720575940623447334,720575941643482785,38214
720575940627120253,720575941533140970,53840
720575940622096324,720575941476833332,532805
720575940625468936,720575941643456417,77823
720575940605286060,720575941624249755,77183
720575940655140257,720575941533050602,76051
720575940623425416,720575941507131973,84026
720575940630868215,720575941539079549,130658
720575940615107014,720575941507974178,74089
720575940612977049,720575941513651779,67855
720575940624398261,720575941644530849,69765
720575940627612177,720575941565801991,77097
720575940629928826,720575941550462719,84996
720575940655430305,720575941653643732,101749
720575940620130128,720575941658651984,48690
720575940622395260,720575941570075892,541667
720575940628130052,720575941430551215,46324
720575940640654069,720575941413105812,76751
720575940621053376,720575941525921446,59466
720575940614214184,720575941448250549,98719
720575940623216909,720575941444610218,45547
720575940645152200,720575941563425287,55345
720575940617868505,720575941624955018,69864
720575940623612198,720575941573048585,57098
720575940621985660,720575941438272223,49149
720575940626037948,720575941409768107,59424
720575940627251770,720575941594595441,61490
720575940624381192,720575941593933349,50282
720575940633121839,720575941434731296,58881
720575940624771913,720575941573438365,52851
720575940620644824,720575941453690419,51117
720575940634280418,720575941489840590,51077
720575940614337346,720575941568437362,57642
720575940613140594,720575941588847671,55173
720575940632260772,720575941545966516,53177
720575940631728658,720575941537711253,64926
720575940640006973,720575941513925955,54710
720575940619252718,720575941503803883,26075
720575940618544208,720575941546386312,26808
720575940631258338,720575941505479703,31752
720575940616293259,720575941537694962,31013
720575940619249761,720575941451917434,40604
720575940615032799,720575941437574719,39401
720575940621244325,720575941571673672,35734
720575940621539494,720575941575088744,35770
720575940645271588,720575941436543788,31492
720575940629959900,720575941538908029,43493
720575940614254130,720575941629703906,37631
720575940636572016,720575941610310118,63420
720575940630967097,720575941592180843,40832
720575940644873160,720575941573204893,37243
720575940626639106,720575941518509484,41654
720575940616394939,720575941528135096,36911
720575940634999647,720575941584400094,39935
720575940620911495,720575941563779991,143520
720575940638835802,720575941686473967,103183
720575940626463107,720575941514283267,91398
720575940611455694,720575941475077691,98641
